L_CR_1h_10kWh,L_CR_1h_20kWh,L_CR_1h_30kWh,L_CR_1h_40kWh,L_CR_1h_50kWh,L_CR_1h_5kWh
464.88,777.78,1354.41,1841.64,2682,252.555
404.95,910,1187.55,1656.2,2229.5,254.8
560.49,1120.98,1243.44,1620.24,2472.75,214.305
559.475,1070.3,1415.715,2296.28,2067.625,248.115
483.07,825.44,1238.16,2138.64,2133.95,276.71
420.9,933.3,1564.65,2141.1,2241.75,269.925
383.775,785.61,1286.775,2022.72,2528.4,212.205
496.17,1081.74,1421.46,1966.8,2011.5,261.495
498.33,793.8,1270.08,1499.4,2491.65,191.835
453.5,807.23,1496.55,1904.7,2494.25,226.75
504.39,850.54,1349.985,2215.36,2645.575,227.47
476.27,1080.2,1561.38,2337.16,2258.6,216.04
517.8,957.93,1294.5,1536.14,2006.475,252.4275
433.355,782.34,1081.47,1503.32,2109.25,210.925
300.585,587.35,1057.23,1395.82,2090.275,150.2925
318.15,756,1030.05,1486.8,1338.75,154.35
298.7,551,939.6,1345.6,1551.5,130.5
250.535,591.15,937.395,1114.74,1280.825,125.2675
328.86,652.05,756.945,1099.98,1332.45,164.43
319.93,645.84,1085.37,1291.68,1315.6,127.075
335.32,577.68,1175.28,1513.92,1444.2,142.76
319.6,691.84,992.64,1338.56,2218.4,161.68
416.05,949.85,1354.125,1570,1923.25,208.025
397.92,903.61,1293.24,1807.22,2300.475,207.25
478.29,1019.16,1555.56,1841.64,2167.95,198.915
436.8,900.9,1501.5,1856.4,2593.5,216.125
527.52,847.8,1384.74,1695.6,2190.15,284.955
549.745,992.46,1722.21,2160.06,2262.225,250.5475
567.49,956.76,1646.19,2007.32,2462.25,262.64
407.175,850.95,1468.575,1958.1,2447.625,196.725
501.165,1092.63,1164.87,1607.34,2167.2,259.6125
411.24,795.66,1434.87,1823.76,2033.85,254.79
485.1,1058.4,1521.45,2134.44,2491.65,205.065
489.78,1006.77,1374.105,1759.58,2743.675,206.3425
430.215,1186.8,1542.84,2254.92,2991.725,220.0525
549.92,991.82,1708.68,1846.16,2234.05,218.495
418.555,923.41,1203.885,1656.96,1984.9,241.64
352.82,774.67,1150.5,1365.26,2281.825,185.9975
317.86,794.65,1067.595,1451.1,1623.85,205.5725
305.55,743.4,963.9,1423.8,1527.75,173.25
319,620.6,1026.6,1264.4,1522.5,149.35
289.945,478.55,793.83,1024.66,1210.45,156.2325
323.19,635.04,773.955,1099.98,1445.85,165.8475
340.86,615.94,986.7,1148.16,1524.9,137.54
298.8,577.68,936.24,1500.64,1543.8,184.26
424.88,834.72,1037.76,1654.4,1692,165.44
471,824.25,1059.75,1381.6,2276.5,227.65
451.805,754.39,1380.285,1691.16,2341.925,178.235
402.3,849.3,1367.82,1573.44,2145.6,221.265
464.1,864.5,1569.75,1874.6,2275,254.8
471,1139.82,1384.74,2166.6,2284.35,268.47
574.07,1138.41,1678.425,1965.46,2748.725,274.8725
464.31,825.44,1575.84,2101.12,2133.95,283.745
407.175,905.85,1194.075,1628.7,2607.75,272.2125
532.77,767.55,1178.415,1733.76,2009.175,273.1575
388.89,1010.22,1180.08,1591.32,2279.7,257.025
418.95,996.66,1468.53,1764,1984.5,222.705
439.895,852.58,1578.18,1687.02,2290.175,226.75
504.39,1157.13,1424.16,2373.6,2398.325,276.92
549.92,844.52,1281.51,1905.08,2405.9,297.055
409.925,845.74,1203.885,2019.42,1877.025,256.7425
383.5,836.03,1162.005,1319.24,2090.075,210.925
304.04,691,1109.055,1257.62,1952.075,152.02
292.95,604.8,973.35,1373.4,1338.75,133.875
252.3,626.4,896.1,1299.2,1421,169.65
320.91,585.52,1013.4,1339.94,1520.1,166.085
328.86,589.68,850.5,1088.64,1219.05,160.1775
278.07,598,870.09,1148.16,1345.5,164.45
401.72,564.4,1025.88,1274.88,1477.4,189.24
364.72,736.96,1240.8,1789.76,1842.4,182.36
341.475,698.65,1095.075,1601.4,1864.375,213.9125
447.66,754.39,1181.325,1807.22,2238.3,250.7725
397.83,983.4,1528.74,1895.28,2436.15,245.85
527.8,837.2,1597.05,2056.6,1933.75,238.875
414.48,1102.14,1540.17,2015.88,2755.35,221.37
442.715,1128.68,1590.855,1790.32,2602.775,233.52
492.45,797.3,1561.77,2044.84,2016.7,204.015
526.125,786.9,1647,1665.3,2470.5,274.5
487.62,794.64,1205.505,1733.76,2505.825,203.175
